iter	Passed	Remaining
196	11966	48776
197	12015	48669
198	12063	48556
199	12115	48463
200	12167	48366
201	12213	48250
202	12260	48134
203	12307	48023
204	12362	47941
205	12410	47835
206	12452	47703
207	12497	47586
208	12543	47471
209	12584	47341
210	12643	47277
211	12690	47171
212	12740	47072
213	12782	46948
214	12835	46862
215	12888	46781
216	12937	46681
217	12984	46576
218	13030	46468
219	13087	46402
220	13141	46321
221	13188	46219
222	13239	46130
223	13285	46026
224	13335	45934
225	13389	45856
226	13440	45767
227	13486	45664
228	13531	45556
229	13593	45508
230	13640	45410
231	13687	45311
232	13734	45212
233	13784	45123
234	13835	45037
235	13887	44957
236	13933	44857
237	13985	44778
238	14032	44681
239	14136	44764
240	14196	44710
241	14241	44607
242	14289	44515
243	14335	44416
244	14396	44363
245	14443	44270
246	14490	44174
247	14534	44072
248	14580	43977
249	14643	43929
250	14692	43843
251	14739	43751
252	14782	43646
253	14830	43556
254	14878	43468
255	14930	43391
256	14977	43300
257	15026	43215
258	15070	43117
259	15119	43031
260	15168	42948
261	15210	42843
262	15257	42757
263	15305	42669
264	15363	42612
265	15409	42520
266	15456	42432
267	15500	42338
268	15542	42235
269	15590	42152
270	15647	42093
271	15696	42010
272	15739	41915
273	15789	41835
274	15845	41774
275	15889	41681
276	15933	41587
277	15978	41499
278	16023	41408
279	16069	41322
280	16128	41269
281	16172	41177
282	16231	41123
283	16293	41079
284	16347	41013
285	16393	40926
286	16439	40841
287	16482	40748
288	16542	40697
289	16589	40615
290	16633	40525
291	16676	40434
292	16725	40357
293	16773	40279
294	16829	40218
295	16875	40136
296	16920	40051
297	16969	39974
298	17021	39907
299	17076	39845
300	17121	39760
301	17173	39693
302	17220	39613
303	17272	39546
304	17319	39465
305	17366	39387
306	17409	39298
307	17458	39225
308	17505	39146
309	17562	39091
310	17606	39006
311	17653	38928
312	17699	38849
313	17755	38791
314	17804	38716
315	17849	38636
316	17896	38560
317	17947	38490
318	18019	38467
319	18087	38435
320	18146	38384
321	18202	38327
322	18269	38293
323	18333	38251
324	18384	38183
325	18450	38146
326	18515	38106
327	18578	38063
328	18628	37992
329	18674	37914
330	18723	37843
331	18786	37799
332	18855	37768
333	18909	37706
334	18972	37661
335	19025	37598
336	19100	37576
337	19161	37528
338	19212	37461
339	19265	37397
340	19319	37336
341	19369	37265
342	19410	37180
343	19458	37107
344	19519	37059
345	19566	36983
346	19617	36916
347	19666	36846
348	19717	36779
349	19784	36742
350	19834	36674
351	19882	36602
352	19936	36541
353	20000	36497
354	20083	36489
355	20138	36431
356	20187	36360
357	20253	36320
358	20300	36246
359	20346	36170
360	20388	36089
361	20440	36024
362	20496	35967
363	20548	35904
364	20596	35832
365	20644	35761
366	20687	35681
367	20750	35636
368	20814	35592
369	20874	35542
370	20933	35491
371	21000	35451
372	21059	35399
373	21107	35329
374	21154	35257
375	21198	35181
376	21257	35128
377	21305	35058
378	21360	34999
379	21419	34948
380	21477	34894
381	21537	34843
382	21588	34778
383	21641	34716
384	21705	34672
385	21776	34640
386	21839	34592
387	21905	34551
388	21976	34518
389	22037	34469
390	22093	34412
391	22144	34346
392	22193	34278
393	22253	34227
394	22303	34161
395	22352	34092
396	22405	34032
397	22472	33991
398	22530	33937
399	22574	33862
400	22625	33796
401	22685	33745
402	22733	33677
403	22784	33612
404	22834	33547
405	22889	33488
406	22956	33447
407	23081	33491
408	23167	33476
409	23233	33433
410	23285	33370
411	23343	33315
412	23396	33253
413	23448	33190
414	23494	33119
415	23543	33051
416	23592	32983
417	23658	32941
418	23730	32905
419	23788	32850
420	23839	32786
421	23899	32734
422	23966	32691
423	24024	32636
424	24070	32566
425	24326	32777
426	24614	33030
427	24662	32960
428	24708	32886
429	24775	32841
430	24827	32776
431	24904	32745
432	24973	32701
433	25030	32643
434	25109	32613
435	25156	32542
436	25203	32470
437	25247	32395
438	25294	32323
439	25340	32251
440	25400	32196
441	25452	32132
442	25505	32069
443	25557	32004
444	25618	31951
445	25658	31872
446	25708	31804
447	25751	31729
448	25806	31669
449	25857	31604
450	25918	31549
451	25964	31479
452	26006	31403
453	26065	31347
454	26113	31279
455	26162	31211
456	26204	31135
457	26255	31070
458	26315	31017
459	26362	30946
460	26408	30876
461	26454	30806
462	26500	30735
463	26550	30669
464	26609	30615
465	26652	30541
466	26701	30474
467	26749	30407
468	26804	30347
469	26848	30276
470	26897	30210
471	26942	30139
472	26983	30064
473	27038	30004
474	27126	29981
475	27194	29937
476	27397	30039
477	27526	30060
478	27757	30191
479	28006	30340
480	28078	30296
481	28144	30246
482	28208	30193
483	28291	30162
484	28359	30113
485	28419	30056
486	28492	30013
487	28589	29996
488	28664	29953
489	28756	29930
490	28837	29894
491	28930	29870
492	29001	29825
493	29071	29778
494	29146	29734
495	29209	29680
496	29266	29619
497	29347	29583
498	29414	29532
499	29525	29525
500	29583	29465
501	29657	29421
502	29729	29374
503	29809	29336
504	29906	29314
505	29967	29257
506	30026	29197
507	30102	29154
508	30172	29105
509	30229	29043
510	30352	29045
511	30439	29012
512	30528	28981
513	30610	28943
514	30682	28895
515	30759	28852
516	30868	28838
517	30975	28822
518	31056	28783
519	31152	28755
520	31220	28704
521	31273	28637
522	31348	28591
523	31437	28557
524	31486	28487
525	31534	28416
526	31579	28343
527	31629	28274
528	31688	28213
529	31733	28140
530	31782	28071
531	31827	27998
532	31879	27932
533	31928	27863
534	31977	27793
535	32019	27718
536	32064	27646
537	32111	27575
538	32161	27507
539	32216	27443
540	32276	27384
541	32324	27314
542	32367	27241
543	32438	27191
544	32485	27121
545	32526	27045
546	32574	26976
547	32625	26910
548	32678	26844
549	32753	26797
550	32803	26730
551	32851	26661
552	32897	26592
553	32967	26540
554	33024	26479
555	33070	26408
556	33116	26338
557	33169	26273
558	33215	26203
559	33270	26141
560	33322	26075
561	33640	26217
562	33780	26220
563	33938	26235
564	34012	26186
565	34088	26138
566	34178	26100
567	34275	26068
568	34328	26003
569	34377	25934
570	34432	25869
571	34481	25801
572	34533	25734
573	34588	25670
574	34644	25606
575	34690	25535
576	34737	25465
577	34779	25392
578	34839	25332
579	34889	25264
580	34934	25193
581	34979	25122
582	35028	25054
583	35078	24987
584	35135	24925
585	35189	24860
586	35253	24803
587	35325	24752
588	35397	24700
589	35452	24636
590	35522	24582
591	35633	24558
592	35687	24493
593	35748	24434
594	35875	24419
595	35973	24384
596	36036	24326
597	36097	24266
598	36165	24211
599	36223	24148
600	36285	24089
601	36345	24028
602	36397	23963
603	36444	23894
604	36486	23821
605	36533	23752
606	36585	23687
607	36637	23621
608	36683	23552
609	36733	23485
610	36786	23420
611	36911	23401
612	36985	23349
613	37065	23301
614	37142	23251
615	37228	23207
616	37375	23200
617	37456	23152
618	37530	23100
619	37615	23054
620	38290	23369
621	38453	23369
622	38559	23333
623	38640	23283
624	38741	23244
625	38877	23226
626	38988	23194
627	39104	23163
628	39229	23138
629	39331	23099
630	39429	23057
631	39493	22996
632	39551	22931
633	39676	22904
634	39786	22869
635	39933	22854
636	40095	22848
637	40180	22798
638	40383	22814
639	40732	22912
640	41163	23054
641	41898	23364
642	42100	23374
643	42239	23349
644	42337	23301
645	42416	23243
646	42494	23184
647	42584	23132
648	42685	23085
649	42938	23120
650	43290	23208
651	43573	23257
652	43902	23329
653	44085	23323
654	44189	23275
655	44412	23289
656	44520	23242
657	44612	23187
658	44733	23147
659	44849	23104
660	44937	23046
661	45053	23003
662	45417	23085
663	45489	23019
664	45561	22952
665	45644	22890
666	45771	22851
667	45878	22802
668	45999	22759
669	46083	22697
670	46198	22651
671	46290	22594
672	46396	22543
673	46547	22514
674	46677	22474
675	46939	22497
676	47029	22437
677	47153	22394
678	47263	22343
679	47330	22273
680	47423	22214
681	47503	22149
682	47794	22183
683	47951	22152
684	48024	22084
685	48120	22026
686	48174	21948
687	48225	21869
688	48289	21796
689	48345	21720
690	48395	21641
691	48480	21578
692	48588	21524
693	48678	21463
694	48751	21394
695	48819	21323
696	48901	21258
697	48958	21182
698	49008	21103
699	49086	21036
700	49164	20970
701	49219	20893
702	49280	20819
703	49334	20743
704	49391	20667
705	49446	20590
706	49493	20511
707	49543	20433
708	49598	20357
709	49647	20278
710	49695	20199
711	49744	20121
712	49805	20047
713	49852	19968
714	49902	19891
715	49945	19810
716	49991	19731
717	50041	19654
718	50096	19578
719	50144	19500
720	50193	19422
721	50238	19344
722	50299	19270
723	50343	19191
724	50393	19114
725	50440	19036
726	50487	18958
727	50534	18881
728	50589	18806
729	50636	18728
730	50680	18649
731	50732	18574
732	50788	18500
733	50837	18423
734	50880	18344
735	50923	18266
736	50970	18188
737	51022	18113
738	51079	18040
739	51122	17961
740	51166	17883
741	51213	17807
742	51273	17735
743	51326	17660
744	51369	17582
745	51416	17506
746	51464	17430
747	51514	17355
748	51566	17280
749	51612	17204
750	51660	17128
751	51703	17051
752	51753	16976
753	51818	16906
754	51863	16829
755	51908	16753
756	51954	16677
757	52014	16606
758	52068	16532
759	52119	16458
760	52165	16383
761	52215	16308
762	52263	16233
763	52310	16158
764	52356	16083
765	52404	16008
766	52451	15933
767	52503	15860
768	52559	15788
769	52606	15713
770	52651	15638
771	52701	15564
772	52759	15493
773	52833	15426
774	52897	15357
775	52963	15288
776	53037	15221
777	53099	15151
778	53162	15082
779	53229	15013
780	53279	14940
781	53344	14870
782	53390	14796
783	53437	14722
784	53490	14650
785	53547	14579
786	53596	14505
787	53644	14432
788	53697	14360
789	53747	14287
790	53797	14214
791	53845	14141
792	53891	14067
793	53932	13992
794	53984	13920
795	54035	13848
796	54084	13775
797	54128	13701
798	54176	13628
799	54235	13558
800	54281	13485
801	54327	13412
802	54375	13339
803	54425	13267
804	54472	13195
805	54535	13126
806	54591	13055
807	54635	12982
808	54684	12910
809	54741	12840
810	54788	12768
811	54835	12695
812	54880	12623
813	54932	12552
814	54978	12479
815	55022	12407
816	55067	12334
817	55114	12262
818	55166	12191
819	55220	12121
820	55264	12049
821	55309	11976
822	55350	11904
823	55402	11833
824	55457	11763
825	55503	11692
826	55553	11621
827	55597	11549
828	55651	11479
829	55699	11408
830	55745	11337
831	55792	11265
832	55838	11194
833	55888	11124
834	55941	11054
835	55983	10982
836	56027	10910
837	56074	10840
838	56121	10769
839	56175	10700
840	56222	10629
841	56270	10559
842	56311	10487
843	56369	10418
844	56416	10348
845	56457	10277
846	56504	10206
847	56552	10136
848	56602	10067
849	56653	9997
850	56705	9928
851	56754	9858
852	56803	9789
853	56859	9720
854	56915	9652
855	56958	9581
856	57006	9512
857	57055	9442
858	57118	9375
859	57167	9306
860	57219	9237
861	57267	9168
862	57318	9099
863	57382	9032
864	57433	8963
865	57481	8894
866	57534	8825
867	57582	8756
868	57642	8689
869	57694	8621
870	57744	8552
871	57792	8483
872	57847	8415
873	57896	8346
874	57945	8277
875	57993	8209
876	58041	8140
877	58093	8072
878	58135	8002
879	58183	7934
880	58230	7865
881	58277	7796
882	58327	7728
883	58382	7661
884	58427	7592
885	58475	7523
886	58522	7455
887	58573	7387
888	58624	7319
889	58677	7252
890	58722	7183
891	58769	7115
892	58819	7047
893	58871	6980
894	58915	6911
895	58958	6843
896	59004	6775
897	59100	6712
898	59152	6645
899	59201	6577
900	59250	6510
901	59292	6442
902	59352	6375
903	59401	6308
904	59451	6240
905	59492	6172
906	59542	6105
907	59600	6038
908	59653	5971
909	59703	5904
910	59753	5837
911	59798	5770
912	59847	5702
913	59899	5636
914	59948	5569
915	59993	5501
916	60039	5434
917	60096	5368
918	60147	5301
919	60194	5234
920	60242	5167
921	60292	5100
922	60345	5034
923	60394	4967
924	60441	4900
925	60490	4833
926	60535	4767
927	60592	4701
928	60645	4634
929	60697	4568
930	60744	4502
931	60792	4435
932	60847	4369
933	60897	4303
934	60944	4236
935	60992	4170
936	61041	4104
937	61101	4038
938	61154	3972
939	61205	3906
940	61277	3842
941	61343	3776
942	61409	3711
943	61469	3646
944	61535	3581
945	61599	3516
946	61673	3451
947	61718	3385
948	61766	3319
949	61815	3253
950	61872	3187
951	61920	3122
952	61967	3056
953	62013	2990
954	62065	2924
955	62116	2858
956	62171	2793
957	62218	2727
958	62265	2662
959	62321	2596
960	62368	2531
961	62415	2465
962	62462	2399
963	62510	2334
964	62553	2268
965	62611	2203
966	62662	2138
967	62710	2073
968	62751	2007
969	62810	1942
970	62858	1877
971	62907	1812
972	62950	1746
973	62995	1681
974	63047	1616
975	63101	1551
976	63146	1486
977	63193	1421
978	63241	1356
979	63292	1291
980	63342	1226
981	63389	1161
982	63436	1097
983	63484	1032
984	63527	967
985	63586	902
986	63636	838
987	63683	773
988	63731	708
989	63784	644
990	63832	579
991	64021	516
992	64075	451
993	64122	387
994	64168	322
995	64216	257
996	64265	193
997	64316	128
998	64362	64
999	64407	0
