iter	MultiClass
196	0.2572859386
197	0.2568156405
198	0.2563098529
199	0.2558213284
200	0.25531954
201	0.2550595723
202	0.2546625593
203	0.2543432019
204	0.2539923926
205	0.253783165
206	0.2534486132
207	0.2531356953
208	0.2529433047
209	0.2525700255
210	0.2521998174
211	0.2516650528
212	0.2512973315
213	0.2510199644
214	0.2506186714
215	0.2503258117
216	0.2500372008
217	0.2496862842
218	0.2494345261
219	0.2490317294
220	0.2486774196
221	0.2484550515
222	0.2479969417
223	0.2477781472
224	0.2475095113
225	0.2473070185
226	0.2469800087
227	0.2466724107
228	0.2464531298
229	0.2459677834
230	0.2455798725
231	0.245359933
232	0.2451439053
233	0.244630637
234	0.2441903504
235	0.2438181695
236	0.243514553
237	0.2431312353
238	0.2428229691
239	0.2425948664
240	0.2423416016
241	0.2421974203
242	0.2419112118
243	0.2416907479
244	0.2414644537
245	0.2412840425
246	0.2410235606
247	0.2407732893
248	0.2406296967
249	0.2401982005
250	0.23995356
251	0.2397128204
252	0.2392928798
253	0.2388994361
254	0.2387374127
255	0.2385137541
256	0.2382181897
257	0.2378332226
258	0.2376263311
259	0.2374913664
260	0.2372843159
261	0.2369469033
262	0.2367331517
263	0.2363482886
264	0.2361570355
265	0.2359306116
266	0.2357474857
267	0.2356037364
268	0.2353982108
269	0.2351472598
270	0.2349724344
271	0.2345495426
272	0.2342947228
273	0.2338668513
274	0.2335452293
275	0.2333525917
276	0.2332285009
277	0.2330458933
278	0.2328312106
279	0.2326071476
280	0.2322637582
281	0.2320740535
282	0.2316803271
283	0.2312438152
284	0.2310609119
285	0.2309272888
286	0.230652474
287	0.2303964271
288	0.2299588886
289	0.2297251455
290	0.2295611625
291	0.2293982781
292	0.229216589
293	0.2289459926
294	0.2286953088
295	0.2285343818
296	0.2284057923
297	0.2282080946
298	0.2280101387
299	0.2277558136
300	0.2275686354
301	0.227148364
302	0.2269141744
303	0.226677511
304	0.2265359336
305	0.226385615
306	0.2262478852
307	0.2258837071
308	0.2256506823
309	0.2253963428
310	0.2252655792
311	0.2250081113
312	0.2247489924
313	0.2245028984
314	0.2243204942
315	0.224106773
316	0.2238434452
317	0.2236600648
318	0.2234742893
319	0.2233110599
320	0.2230177986
321	0.2228016935
322	0.2226469018
323	0.2224001049
324	0.2222112833
325	0.2220274828
326	0.2218725418
327	0.2216038067
328	0.2214433909
329	0.2211218076
330	0.2208690046
331	0.2206579162
332	0.2204249425
333	0.2202714823
334	0.2201383227
335	0.2199345003
336	0.2196759237
337	0.2193823868
338	0.2191419325
339	0.2188898674
340	0.2186948826
341	0.2185810979
342	0.2184649495
343	0.2182437194
344	0.2180155524
345	0.2178628626
346	0.2174738832
347	0.2172017747
348	0.2170205084
349	0.2168215573
350	0.2167328044
351	0.2165838377
352	0.2164372822
353	0.2160916009
354	0.2159345363
355	0.2157974301
356	0.2155441198
357	0.2152005841
358	0.2150196319
359	0.2148930057
360	0.2147282604
361	0.214628749
362	0.2145071158
363	0.2143007871
364	0.2141277696
365	0.2138022055
366	0.2136221961
367	0.2134650705
368	0.2131925111
369	0.2129958558
370	0.2128129635
371	0.212622682
372	0.2124809292
373	0.2122480115
374	0.2121250605
375	0.2118498652
376	0.2116677183
377	0.2115262064
378	0.2112959287
379	0.2111413004
380	0.2110235044
381	0.2108368807
382	0.2106923442
383	0.2105370591
384	0.2103559418
385	0.2100409403
386	0.209885865
387	0.2096656607
388	0.2094056511
389	0.2093103153
390	0.2091300798
391	0.2090025921
392	0.2087474731
393	0.2085493463
394	0.2082586394
395	0.2080980243
396	0.2077341878
397	0.2076196789
398	0.2074237851
399	0.2072915268
400	0.2071312703
401	0.2068383942
402	0.2067103901
403	0.2064537649
404	0.2063414632
405	0.206285883
406	0.2061431451
407	0.2058970667
408	0.2057715709
409	0.2056206253
410	0.2055202147
411	0.2052670961
412	0.2049870203
413	0.2047657681
414	0.2046535362
415	0.2045253448
416	0.2043854156
417	0.2041687826
418	0.2040341407
419	0.2037982572
420	0.2036428381
421	0.2035666217
422	0.2033349502
423	0.2031610198
424	0.2030156171
425	0.2028967026
426	0.2027202303
427	0.2026519108
428	0.2025611003
429	0.2023851015
430	0.2022776412
431	0.2021422527
432	0.2019518801
433	0.2017110748
434	0.2015388545
435	0.2014229006
436	0.2012445167
437	0.2011083133
438	0.2009616274
439	0.2008065311
440	0.2006625368
441	0.2005253144
442	0.2003455586
443	0.2002187556
444	0.1999678773
445	0.1999053115
446	0.199659326
447	0.1994948911
448	0.1993184066
449	0.1990179869
450	0.1988123845
451	0.1987210746
452	0.198568604
453	0.1984320253
454	0.19829111
455	0.198192217
456	0.1981037542
457	0.1978830185
458	0.1977382844
459	0.1976269446
460	0.1974173131
461	0.1971354468
462	0.197013948
463	0.1967568689
464	0.1966084061
465	0.1964187186
466	0.1963056232
467	0.1960318606
468	0.1959548235
469	0.195744199
470	0.1956435081
471	0.1955137055
472	0.1954293519
473	0.195326571
474	0.1951744413
475	0.1950811806
476	0.1950094538
477	0.1949037711
478	0.1947349055
479	0.1945790824
480	0.1942869909
481	0.1940499486
482	0.1938347245
483	0.1936572985
484	0.1934128183
485	0.1933268426
486	0.1932123847
487	0.1930959735
488	0.1929856929
489	0.1929069157
490	0.1927283599
491	0.1925730653
492	0.192290054
493	0.1921412562
494	0.1919597823
495	0.191700755
496	0.1916325211
497	0.1915485429
498	0.191377294
499	0.1912721032
500	0.1911393639
501	0.1910202582
502	0.1908781486
503	0.1907608921
504	0.1904871024
505	0.1903661151
506	0.1902033021
507	0.1899875802
508	0.1898137915
509	0.1896522707
510	0.1894988386
511	0.1893670626
512	0.1892755077
513	0.1891052889
514	0.1889652356
515	0.188834513
516	0.1886338393
517	0.188511069
518	0.1883126806
519	0.1881895939
520	0.1879448411
521	0.1878498198
522	0.1877764841
523	0.1876446163
524	0.1875068935
525	0.1873618867
526	0.1871902132
527	0.1870738565
528	0.1870008487
529	0.186875685
530	0.1867606286
531	0.18667405
532	0.1864318687
533	0.1862974765
534	0.1861919047
535	0.1860385625
536	0.1858816874
537	0.1857737925
538	0.185614408
539	0.18546335
540	0.1852487161
541	0.185075826
542	0.1848800463
543	0.1848087671
544	0.1846798315
545	0.1846365604
546	0.1843691535
547	0.1842816729
548	0.1841220327
549	0.183974895
550	0.1837996823
551	0.1836555097
552	0.1835572196
553	0.183417284
554	0.1832652278
555	0.1831227625
556	0.1830522514
557	0.1829023978
558	0.1828060642
559	0.1826995048
560	0.1825464262
561	0.1824542731
562	0.1822243057
563	0.1820654512
564	0.1819892977
565	0.1818636042
566	0.1817029984
567	0.1815904896
568	0.1813699527
569	0.1812462954
570	0.1811713643
571	0.1810780285
572	0.1810030632
573	0.1808682119
574	0.1807337322
575	0.1806418318
576	0.1805361126
577	0.1804401115
578	0.1802246555
579	0.1801440681
580	0.1800069272
581	0.179905847
582	0.179775516
583	0.1796449513
584	0.1794665102
585	0.1793147543
586	0.1792265415
587	0.1791521768
588	0.1790710922
589	0.1789299493
590	0.1788553906
591	0.1786421365
592	0.1785395775
593	0.1783203453
594	0.178223055
595	0.1780713144
596	0.1778904217
597	0.1777437592
598	0.1776313133
599	0.1775252462
600	0.1774500086
601	0.1773358651
602	0.1772240916
603	0.1770959093
604	0.1770074129
605	0.1768980539
606	0.1766840993
607	0.176571132
608	0.176446195
609	0.1762856793
610	0.1761807678
611	0.1760660028
612	0.1759708332
613	0.1758917036
614	0.1757934549
615	0.1756212646
616	0.1754411797
617	0.1753315028
618	0.1752565197
619	0.1751094031
620	0.1750371218
621	0.1749318479
622	0.1748796954
623	0.1747380222
624	0.1746186882
625	0.1745147722
626	0.1743602928
627	0.1742607184
628	0.1741172217
629	0.1739855885
630	0.1739043096
631	0.1737965639
632	0.1737205699
633	0.1735881928
634	0.1734501319
635	0.1733591765
636	0.1732692862
637	0.1731921024
638	0.1731119862
639	0.1729496288
640	0.1727979325
641	0.1726892037
642	0.1725745825
643	0.1725043052
644	0.1723436296
645	0.1721878895
646	0.172068917
647	0.1719816015
648	0.1719040113
649	0.1717915652
650	0.1717002214
651	0.1716211586
652	0.1714626978
653	0.1713645382
654	0.1712535917
655	0.1711523251
656	0.1710328503
657	0.1709396859
658	0.170817776
659	0.1706365049
660	0.170559975
661	0.1704844243
662	0.170415752
663	0.1702808098
664	0.1702202495
665	0.1700625743
666	0.1699738082
667	0.1697812293
668	0.1696922052
669	0.1696376211
670	0.1694902624
671	0.1694057212
672	0.1693214088
673	0.1692071917
674	0.1691192717
675	0.1689302103
676	0.1688328717
677	0.1687338595
678	0.1685761772
679	0.1684980769
680	0.1683340905
681	0.1682535637
682	0.1681987303
683	0.1681128882
684	0.1679406291
685	0.1678591104
686	0.1678036512
687	0.1676590023
688	0.1675531744
689	0.1674553354
690	0.1673427603
691	0.1672973768
692	0.1671288935
693	0.1670441437
694	0.1669565786
695	0.1668657865
696	0.1667627599
697	0.1665783478
698	0.1665283105
699	0.1664433214
700	0.1662962895
701	0.1661659856
702	0.1660681041
703	0.1659860498
704	0.1659193952
705	0.165788507
706	0.1657378129
707	0.1656708502
708	0.165608623
709	0.1655113276
710	0.1654072733
711	0.1653293194
712	0.165193308
713	0.1650984962
714	0.1650256116
715	0.1649231934
716	0.1648606457
717	0.1647678902
718	0.1646147541
719	0.1644412622
720	0.1643263665
721	0.1642545723
722	0.1641006032
723	0.164017408
724	0.1639251445
725	0.1638385297
726	0.1637340742
727	0.1636396888
728	0.1635675607
729	0.1634595496
730	0.1634058586
731	0.163267745
732	0.1631358261
733	0.1630503708
734	0.1629803232
735	0.1629327281
736	0.1628524562
737	0.1627312437
738	0.1626569608
739	0.1625523886
740	0.1624835842
741	0.1623899457
742	0.1622971537
743	0.1621795114
744	0.1621257764
745	0.1620423538
746	0.1619470635
747	0.1618375343
748	0.1616968569
749	0.1615306031
750	0.1613353736
751	0.1613036206
752	0.1612286325
753	0.1611219622
754	0.1610203729
755	0.1609279263
756	0.1608832311
757	0.1607783499
758	0.1607064515
759	0.1606096023
760	0.1604765919
761	0.1604093576
762	0.1603772432
763	0.1602916696
764	0.1602049285
765	0.1600840943
766	0.1599485875
767	0.1598463014
768	0.1597973913
769	0.159719218
770	0.1596672438
771	0.1595260362
772	0.1594450327
773	0.159352367
774	0.1592547843
775	0.1590568619
776	0.1589760991
777	0.1589313736
778	0.1588476072
779	0.1587438972
780	0.158614634
781	0.1585426245
782	0.1584692168
783	0.1583755903
784	0.158210893
785	0.1581658793
786	0.1580748819
787	0.1579140061
788	0.1577558005
789	0.1576630394
790	0.1575742777
791	0.15744941
792	0.1573614462
793	0.1573071656
794	0.1571579274
795	0.1570603063
796	0.1569699982
797	0.1568590482
798	0.1567721726
799	0.1566004537
800	0.1565662808
801	0.1564041476
802	0.1563235932
803	0.1562163972
804	0.1561165177
805	0.1559821412
806	0.1558932931
807	0.1558259212
808	0.1557193622
809	0.1555251638
810	0.1554168614
811	0.1553092265
812	0.1551878226
813	0.1551178337
814	0.1549868761
815	0.1548969535
816	0.1548086778
817	0.1547456449
818	0.1546346057
819	0.1544899776
820	0.154436917
821	0.1543802567
822	0.1543178962
823	0.1541978476
824	0.1541136892
825	0.1539837665
826	0.1538940522
827	0.1538065496
828	0.1536794678
829	0.1536410093
830	0.1535666001
831	0.1534342086
832	0.1533284312
833	0.1531357249
834	0.1530686804
835	0.1530026166
836	0.1529174731
837	0.1527930218
838	0.1527391239
839	0.1526769682
840	0.1525670589
841	0.1524493019
842	0.1523879495
843	0.1523353095
844	0.1522114602
845	0.1521501703
846	0.1520738039
847	0.1519604514
848	0.1518424992
849	0.1517173465
850	0.1516419859
851	0.1515587989
852	0.1515060104
853	0.1514113983
854	0.151346582
855	0.1513018927
856	0.1512289133
857	0.1511064611
858	0.151047223
859	0.1509711002
860	0.150901932
861	0.1508251616
862	0.1507499986
863	0.1506808556
864	0.1505241391
865	0.150367
866	0.1502935331
867	0.1502073336
868	0.1501017876
869	0.1499697626
870	0.1498799488
871	0.149803242
872	0.1497089632
873	0.1495954825
874	0.1494229806
875	0.1493682867
876	0.1492441427
877	0.1491743969
878	0.1491000341
879	0.1490164085
880	0.1488814952
881	0.148845096
882	0.1487851575
883	0.1486764183
884	0.1485901848
885	0.1484792646
886	0.1483976454
887	0.1481663539
888	0.1481093536
889	0.1480189809
890	0.1479682683
891	0.1478979695
892	0.1478003033
893	0.1477260806
894	0.1476054725
895	0.1475182862
896	0.1474116224
897	0.1473556248
898	0.1472463728
899	0.1471469896
900	0.1470542563
901	0.1469817997
902	0.1469056959
903	0.1468013733
904	0.1466124028
905	0.1465299788
906	0.1463957611
907	0.1462927039
908	0.1461422375
909	0.1460045112
910	0.1458998343
911	0.1458493221
912	0.1458152995
913	0.1457281371
914	0.1455627808
915	0.1454585494
916	0.1453255628
917	0.1452443115
918	0.1451881885
919	0.1450782944
920	0.1450006729
921	0.1449156565
922	0.1447883073
923	0.144707017
924	0.1445765489
925	0.1444665262
926	0.1443680604
927	0.1442967393
928	0.1441827751
929	0.1440651657
930	0.1440040689
931	0.1439798435
932	0.143920449
933	0.1438562047
934	0.1437889496
935	0.1437327302
936	0.1436618122
937	0.1435870559
938	0.143489774
939	0.1433949579
940	0.1433305443
941	0.1432722135
942	0.1431587714
943	0.1430801574
944	0.1430277087
945	0.1429174627
946	0.1427994936
947	0.1427383294
948	0.1426354079
949	0.1425139925
950	0.1424312663
951	0.1423625601
952	0.1422701909
953	0.1421979382
954	0.142114186
955	0.1420641618
956	0.141957934
957	0.1418286564
958	0.1417755117
959	0.1417179147
960	0.1416305808
961	0.1415908665
962	0.1414871762
963	0.1413852486
964	0.1413524114
965	0.1412740979
966	0.1410131727
967	0.1409570151
968	0.1409160498
969	0.1407840374
970	0.1406549109
971	0.1405701504
972	0.1404871448
973	0.1404684806
974	0.1404112588
975	0.1403320413
976	0.1402235866
977	0.1401674996
978	0.1400658154
979	0.1399732816
980	0.1399042313
981	0.1398196755
982	0.1397125666
983	0.1396464634
984	0.1395924597
985	0.1395206805
986	0.1394042587
987	0.1393136483
988	0.1391911871
989	0.1391107029
990	0.1390066551
991	0.1389556162
992	0.1388959997
993	0.1387839424
994	0.138706921
995	0.1385893824
996	0.1385497508
997	0.1384508248
998	0.1383537167
999	0.1383202827
